Date,Open,High,Low,Close,Adj Close,Volume
2012-11-12,490.000000,490.000000,420.000000,490.000000,417.648834,171981500
2012-11-13,480.000000,510.000000,470.000000,480.000000,409.125458,61509500
2012-11-14,480.000000,480.000000,470.000000,480.000000,409.125458,36180500
2012-11-19,465.000000,480.000000,450.000000,465.000000,396.340271,18578500
2012-11-20,460.000000,465.000000,450.000000,460.000000,392.078522,6529000
2012-11-21,470.000000,475.000000,445.000000,470.000000,400.601990,39023500
2012-11-22,480.000000,490.000000,465.000000,480.000000,409.125458,30876000
2012-11-23,500.000000,510.000000,465.000000,500.000000,426.172302,102619000
2012-11-26,510.000000,510.000000,490.000000,510.000000,434.695740,41449500
2012-11-27,510.000000,520.000000,495.000000,510.000000,434.695740,49954000
2012-11-28,500.000000,510.000000,490.000000,500.000000,426.172302,24016500
2012-11-29,530.000000,550.000000,500.000000,530.000000,451.742615,64994500
2012-11-30,510.000000,540.000000,500.000000,510.000000,434.695740,19303000
2012-12-03,520.000000,520.000000,500.000000,520.000000,443.219208,10137500
2012-12-04,530.000000,530.000000,500.000000,530.000000,451.742615,17622500
2012-12-05,530.000000,540.000000,510.000000,530.000000,451.742615,9779500
2012-12-06,520.000000,540.000000,520.000000,520.000000,443.219208,11254000
2012-12-07,530.000000,530.000000,510.000000,530.000000,451.742615,4086500
2012-12-10,530.000000,530.000000,510.000000,530.000000,451.742615,5567500
2012-12-11,520.000000,530.000000,500.000000,520.000000,443.219208,30314000
2012-12-12,500.000000,520.000000,485.000000,500.000000,426.172302,33364000
2012-12-13,485.000000,495.000000,480.000000,485.000000,413.387146,13199500
2012-12-14,490.000000,490.000000,480.000000,490.000000,417.648834,1359500
2012-12-17,490.000000,490.000000,480.000000,490.000000,417.648834,2530500
2012-12-18,470.000000,485.000000,465.000000,470.000000,400.601990,12905000
2012-12-19,460.000000,470.000000,450.000000,460.000000,392.078522,11369500
2012-12-20,460.000000,460.000000,445.000000,460.000000,392.078522,6753000
2012-12-21,450.000000,455.000000,440.000000,450.000000,383.555054,6484500
2012-12-26,430.000000,450.000000,425.000000,430.000000,366.508179,3
2012-12-27,415.000000,435.000000,395.000000,415.000000,353.722992,22407000
2012-12-28,425.000000,430.000000,415.000000,425.000000,362.246429,8233000
2013-01-02,420.000000,420.000000,410.000000,420.000000,357.984772,19127000
2013-01-03,430.000000,440.000000,420.000000,430.000000,366.508179,24781500
2013-01-04,410.000000,430.000000,405.000000,410.000000,349.461304,14290000
2013-01-07,405.000000,425.000000,400.000000,405.000000,345.199554,21002500
2013-01-08,410.000000,415.000000,400.000000,410.000000,349.461304,16842500
2013-01-09,425.000000,435.000000,405.000000,425.000000,362.246429,33834000
2013-01-10,420.000000,435.000000,415.000000,420.000000,357.984772,21746000
2013-01-11,425.000000,435.000000,415.000000,425.000000,362.246429,19593500
2013-01-14,440.000000,455.000000,425.000000,440.000000,375.031647,56109000
2013-01-15,435.000000,445.000000,430.000000,435.000000,370.769897,24526500
2013-01-16,425.000000,435.000000,425.000000,425.000000,362.246429,4254000
2013-01-17,430.000000,435.000000,425.000000,430.000000,366.508179,8269500
2013-01-18,430.000000,435.000000,420.000000,430.000000,366.508179,8574500
2013-01-21,425.000000,430.000000,420.000000,425.000000,362.246429,6823500
2013-01-22,420.000000,430.000000,415.000000,420.000000,357.984772,6571500
2013-01-23,420.000000,420.000000,415.000000,420.000000,357.984772,2133500
2013-01-25,415.000000,420.000000,415.000000,415.000000,353.722992,2714500
2013-01-28,410.000000,415.000000,390.000000,410.000000,349.461304,32933500
2013-01-29,410.000000,410.000000,405.000000,410.000000,349.461304,4434000
2013-01-30,410.000000,410.000000,400.000000,410.000000,349.461304,7022500
2013-01-31,390.000000,410.000000,390.000000,390.000000,332.414398,8216500
2013-02-01,400.000000,405.000000,395.000000,400.000000,340.937866,5946000
2013-02-04,395.000000,405.000000,390.000000,395.000000,336.676147,10427000
2013-02-05,405.000000,410.000000,395.000000,405.000000,345.199554,12607500
2013-02-06,405.000000,420.000000,405.000000,405.000000,345.199554,17018000
2013-02-07,405.000000,410.000000,400.000000,405.000000,345.199554,3250500
2013-02-08,400.000000,420.000000,400.000000,400.000000,340.937866,22542000
2013-02-11,405.000000,405.000000,400.000000,405.000000,345.199554,4463500
2013-02-12,400.000000,405.000000,395.000000,400.000000,340.937866,4943500
2013-02-13,400.000000,405.000000,395.000000,400.000000,340.937866,4209000
2013-02-14,395.000000,405.000000,390.000000,395.000000,336.676147,12720000
2013-02-15,395.000000,405.000000,390.000000,395.000000,336.676147,13202500
2013-02-18,390.000000,400.000000,385.000000,390.000000,332.414398,14561000
2013-02-19,385.000000,395.000000,380.000000,385.000000,328.152679,12409500
2013-02-20,375.000000,395.000000,375.000000,375.000000,319.629211,16041000
2013-02-21,375.000000,390.000000,370.000000,375.000000,319.629211,17698500
2013-02-22,365.000000,380.000000,360.000000,365.000000,311.105774,11321500
2013-02-25,360.000000,380.000000,350.000000,360.000000,306.844116,23116500
2013-02-26,360.000000,375.000000,350.000000,360.000000,306.844116,26703000
2013-02-27,365.000000,365.000000,360.000000,365.000000,311.105774,7929500
2013-02-28,365.000000,375.000000,365.000000,365.000000,311.105774,6991500
2013-03-01,395.000000,400.000000,370.000000,395.000000,336.676147,30245500
2013-03-04,395.000000,395.000000,395.000000,395.000000,336.676147,0
2013-03-05,390.000000,400.000000,385.000000,390.000000,332.414398,5586500
2013-03-06,405.000000,410.000000,395.000000,405.000000,345.199554,43648000
