Date,Open,High,Low,Close,Adj Close,Volume
1990-04-06,641.268982,641.268982,641.268982,641.268982,641.268982,0
1990-04-09,633.481995,633.481995,633.481995,633.481995,633.481995,0
1990-04-10,632.085999,632.085999,632.085999,632.085999,632.085999,0
1990-04-11,634.692993,634.692993,634.692993,634.692993,634.692993,0
1990-04-12,639.614014,639.614014,639.614014,639.614014,639.614014,0
1990-04-13,null,null,null,null,null,null
1990-04-16,640.013977,640.013977,640.013977,640.013977,640.013977,0
1990-04-17,641.872986,641.872986,641.872986,641.872986,641.872986,0
1990-04-18,640.528015,640.528015,640.528015,640.528015,640.528015,0
1990-04-19,643.906006,643.906006,643.906006,643.906006,643.906006,0
1990-04-20,641.685974,641.685974,641.685974,641.685974,641.685974,0
1990-04-23,643.909973,643.909973,643.909973,643.909973,643.909973,0
1990-04-24,638.797974,638.797974,638.797974,638.797974,638.797974,0
1990-04-25,null,null,null,null,null,null
1990-04-26,null,null,null,null,null,null
1990-04-27,null,null,null,null,null,null
1990-04-30,null,null,null,null,null,null
1990-05-01,639.010010,639.010010,639.010010,639.010010,639.010010,0
1990-05-02,636.153992,636.153992,636.153992,636.153992,636.153992,0
1990-05-03,642.159973,642.159973,642.159973,642.159973,642.159973,0
1990-05-04,643.093994,643.093994,643.093994,643.093994,643.093994,0
1990-05-07,641.945984,641.945984,641.945984,641.945984,641.945984,0
1990-05-08,642.984009,642.984009,642.984009,642.984009,642.984009,0
1990-05-09,645.012024,645.012024,645.012024,645.012024,645.012024,0
1990-05-10,null,null,null,null,null,null
1990-05-11,643.312012,643.312012,643.312012,643.312012,643.312012,0
1990-05-14,638.921997,638.921997,638.921997,638.921997,638.921997,0
1990-05-15,640.854980,640.854980,640.854980,640.854980,640.854980,0
1990-05-16,639.336975,639.336975,639.336975,639.336975,639.336975,0
1990-05-17,644.440979,644.440979,644.440979,644.440979,644.440979,0
1990-05-18,null,null,null,null,null,null
1990-05-21,647.216003,647.216003,647.216003,647.216003,647.216003,0
1990-05-22,647.401001,647.401001,647.401001,647.401001,647.401001,0
1990-05-23,646.247009,646.247009,646.247009,646.247009,646.247009,0
1990-05-24,null,null,null,null,null,null
1990-05-25,647.359985,647.359985,647.359985,647.359985,647.359985,0
1990-05-28,640.130005,640.130005,640.130005,640.130005,640.130005,0
1990-05-29,641.140015,641.140015,641.140015,641.140015,641.140015,0
1990-05-30,640.580017,640.580017,640.580017,640.580017,640.580017,0
1990-05-31,636.400024,636.400024,636.400024,636.400024,636.400024,0
1990-06-01,635.020020,635.020020,635.020020,635.020020,635.020020,0
1990-06-04,636.239990,636.239990,636.239990,636.239990,636.239990,0
1990-06-05,637.080017,637.080017,637.080017,637.080017,637.080017,0
1990-06-06,636.642029,636.642029,636.642029,636.642029,636.642029,0
1990-06-07,636.000000,636.000000,636.000000,636.000000,636.000000,0
1990-06-08,636.059998,636.059998,636.059998,636.059998,636.059998,0
1990-06-11,634.760010,634.760010,634.760010,634.760010,634.760010,0
1990-06-12,634.419983,634.419983,634.419983,634.419983,634.419983,0
1990-06-13,631.380005,631.380005,631.380005,631.380005,631.380005,0
1990-06-14,630.299988,630.299988,630.299988,630.299988,630.299988,0
1990-06-15,628.280029,628.280029,628.280029,628.280029,628.280029,0
1990-06-18,626.900024,626.900024,626.900024,626.900024,626.900024,0
1990-06-19,621.789978,621.789978,621.789978,621.789978,621.789978,0
1990-06-20,622.429993,622.429993,622.429993,622.429993,622.429993,0
1990-06-21,622.979980,622.979980,622.979980,622.979980,622.979980,0
1990-06-22,623.950012,623.950012,623.950012,623.950012,623.950012,0
1990-06-25,626.140015,626.140015,626.140015,626.140015,626.140015,0
1990-06-26,623.760010,623.760010,623.760010,623.760010,623.760010,0
1990-06-27,627.099976,627.099976,627.099976,627.099976,627.099976,0
1990-06-28,626.760010,626.760010,626.760010,626.760010,626.760010,0
1990-06-29,624.320007,624.320007,624.320007,624.320007,624.320007,0
1990-07-02,629.440002,629.440002,629.440002,629.440002,629.440002,0
1990-07-03,629.700012,629.700012,629.700012,629.700012,629.700012,0
1990-07-04,629.708008,629.708008,629.708008,629.708008,629.708008,0
1990-07-05,627.422974,627.422974,627.422974,627.422974,627.422974,0
1990-07-06,626.810974,626.810974,626.810974,626.810974,626.810974,0
1990-07-09,623.297974,623.297974,623.297974,623.297974,623.297974,0
1990-07-10,624.601013,624.601013,624.601013,624.601013,624.601013,0
1990-07-11,627.468994,627.468994,627.468994,627.468994,627.468994,0
1990-07-12,627.968994,627.968994,627.968994,627.968994,627.968994,0
1990-07-13,630.020996,630.020996,630.020996,630.020996,630.020996,0
1990-07-16,630.734009,630.734009,630.734009,630.734009,630.734009,0
1990-07-17,629.531006,629.531006,629.531006,629.531006,629.531006,0
1990-07-18,631.169983,631.169983,631.169983,631.169983,631.169983,0
1990-07-19,629.473022,629.473022,629.473022,629.473022,629.473022,0
1990-07-20,630.096008,630.096008,630.096008,630.096008,630.096008,0
1990-07-23,null,null,null,null,null,null
1990-07-24,625.906006,625.906006,625.906006,625.906006,625.906006,0
1990-07-25,627.960022,627.960022,627.960022,627.960022,627.960022,0
1990-07-26,626.000000,626.000000,626.000000,626.000000,626.000000,0
1990-07-27,624.086975,624.086975,624.086975,624.086975,624.086975,0
1990-07-30,619.661987,619.661987,619.661987,619.661987,619.661987,0
1990-07-31,614.406006,614.406006,614.406006,614.406006,614.406006,0
1990-08-01,611.981018,611.981018,611.981018,611.981018,611.981018,0
1990-08-02,612.221985,612.221985,612.221985,612.221985,612.221985,0
1990-08-03,613.494019,613.494019,613.494019,613.494019,613.494019,0
1990-08-06,607.625977,607.625977,607.625977,607.625977,607.625977,0
1990-08-07,603.124023,603.124023,603.124023,603.124023,603.124023,0
1990-08-08,595.934998,595.934998,595.934998,595.934998,595.934998,0
1990-08-09,593.473022,593.473022,593.473022,593.473022,593.473022,0
1990-08-10,591.968994,591.968994,591.968994,591.968994,591.968994,0
1990-08-13,590.010986,590.010986,590.010986,590.010986,590.010986,0
1990-08-14,587.333984,587.333984,587.333984,587.333984,587.333984,0
1990-08-15,584.156006,584.156006,584.156006,584.156006,584.156006,0
1990-08-16,585.150024,585.150024,585.150024,585.150024,585.150024,0
1990-08-17,null,null,null,null,null,null
1990-08-20,583.471008,583.471008,583.471008,583.471008,583.471008,0
1990-08-21,577.476990,577.476990,577.476990,577.476990,577.476990,0
1990-08-22,573.297974,573.297974,573.297974,573.297974,573.297974,0
1990-08-23,563.489990,563.489990,563.489990,563.489990,563.489990,0
1990-08-24,551.781982,551.781982,551.781982,551.781982,551.781982,0
1990-08-27,546.830017,546.830017,546.830017,546.830017,546.830017,0
1990-08-28,556.336975,556.336975,556.336975,556.336975,556.336975,0
1990-08-29,null,null,null,null,null,null
1990-08-30,559.382996,559.382996,559.382996,559.382996,559.382996,0
1990-08-31,571.020020,571.020020,571.020020,571.020020,571.020020,0
1990-09-03,567.406982,567.406982,567.406982,567.406982,567.406982,0
1990-09-04,562.335999,562.335999,562.335999,562.335999,562.335999,0
